months
--------
2017-10: 2 good, 3 ok, 14 meh
2017-11: 1 good, 1 ok, 26 meh
2017-12: 2 good, 0 ok, 19 meh
2018-01: 0 good, 5 ok, 8 meh
2018-02: 1 good, 0 ok, 11 meh
2018-03: 2 good, 0 ok, 14 meh
2018-04: 2 good, 3 ok, 4 meh
2018-05: 4 good, 9 ok, 14 meh
2018-06: 2 good, 9 ok, 15 meh
2018-07: 12 good, 9 ok, 7 meh
2018-08: 0 good, 0 ok, 1 meh

weeks
---------
2017-10 week #0: 0 good, 0 ok, 1 meh
2017-10 week #1: 1 good, 1 ok, 0 meh
2017-10 week #2: 1 good, 1 ok, 5 meh
2017-10 week #3: 0 good, 1 ok, 5 meh
2017-10 week #4: 0 good, 0 ok, 3 meh
2017-11 week #0: 0 good, 0 ok, 6 meh
2017-11 week #1: 0 good, 0 ok, 7 meh
2017-11 week #2: 0 good, 0 ok, 7 meh
2017-11 week #3: 1 good, 1 ok, 4 meh
2017-11 week #4: 0 good, 0 ok, 2 meh
2017-12 week #0: 0 good, 0 ok, 6 meh
2017-12 week #1: 1 good, 0 ok, 6 meh
2017-12 week #2: 0 good, 0 ok, 6 meh
2017-12 week #3: 1 good, 0 ok, 1 meh
2018-01 week #0: 0 good, 4 ok, 0 meh
2018-01 week #1: 0 good, 0 ok, 2 meh
2018-01 week #3: 0 good, 1 ok, 6 meh
2018-02 week #0: 0 good, 0 ok, 1 meh
2018-02 week #1: 0 good, 0 ok, 4 meh
2018-02 week #2: 0 good, 0 ok, 4 meh
2018-02 week #3: 0 good, 0 ok, 2 meh
2018-02 week #4: 1 good, 0 ok, 0 meh
2018-03 week #1: 0 good, 0 ok, 4 meh
2018-03 week #2: 0 good, 0 ok, 5 meh
2018-03 week #3: 2 good, 0 ok, 5 meh
2018-04 week #3: 2 good, 2 ok, 2 meh
2018-04 week #4: 0 good, 1 ok, 2 meh
2018-05 week #0: 2 good, 4 ok, 0 meh
2018-05 week #1: 1 good, 0 ok, 5 meh
2018-05 week #2: 0 good, 1 ok, 4 meh
2018-05 week #3: 0 good, 2 ok, 4 meh
2018-05 week #4: 1 good, 2 ok, 1 meh
2018-06 week #0: 0 good, 2 ok, 3 meh
2018-06 week #1: 1 good, 2 ok, 3 meh
2018-06 week #2: 1 good, 1 ok, 4 meh
2018-06 week #3: 0 good, 2 ok, 5 meh
2018-06 week #4: 0 good, 2 ok, 0 meh
2018-07 week #0: 3 good, 3 ok, 0 meh
2018-07 week #1: 4 good, 2 ok, 1 meh
2018-07 week #2: 3 good, 2 ok, 1 meh
2018-07 week #3: 2 good, 0 ok, 4 meh
2018-07 week #4: 0 good, 2 ok, 1 meh
2018-08 week #0: 0 good, 0 ok, 1 meh
